criterion,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_features,min_weight_fraction_leaf,max_leaf_nodes,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
entropy,30,5,2,200,,0.0,,0.8737405260811413,0.8734335716872873,0.8737405260811413,0.9464311241286598,0.8731640301287528,0.8670887835788108,0.9895445526896582,MILD OVERFITTING
entropy,30,10,2,200,,0.0,,0.8734730271957201,0.8731198260990276,0.8734730271957201,0.9468453405583753,0.8728157752710517,0.867155621027442,0.9736495976101834,MILD OVERFITTING
entropy,25,10,2,200,,0.0,,0.8732055283102987,0.8728581196268218,0.8732055283102987,0.9468933489346634,0.8725580588759033,0.8668212349964239,0.9727132888958245,MILD OVERFITTING
entropy,25,5,2,200,,0.0,,0.8729380294248774,0.8726486899317548,0.8729380294248774,0.9465537503292372,0.8723921678613921,0.8669549993482244,0.9887197092984372,MILD OVERFITTING
entropy,25,5,4,200,,0.0,,0.8716005349977708,0.8712089384343752,0.8716005349977708,0.9460024296136348,0.8708756749269344,0.865505960082503,0.9659584903136634,MILD OVERFITTING
entropy,30,5,4,200,,0.0,,0.87142220240749,0.8710699075259334,0.87142220240749,0.9459329029841801,0.8707648018841702,0.8656620110383917,0.9663374724123325,MILD OVERFITTING
entropy,30,10,4,200,,0.0,,0.87142220240749,0.8710433595305959,0.87142220240749,0.9460149189509626,0.8707189901131438,0.8659295298025993,0.9617451010990481,MILD OVERFITTING
entropy,25,10,4,200,,0.0,,0.8712438698172091,0.8708645014994315,0.8712438698172091,0.9460213624944246,0.8705395883037866,0.8661301564515135,0.9614329981942618,MILD OVERFITTING
entropy,25,10,2,400,sqrt,0.0,,0.8643780650913955,0.8623569600329893,0.8643780650913955,0.9370808266159392,0.861588304944247,0.8553625535254952,0.9449361303698419,MILD OVERFITTING
entropy,20,10,2,400,sqrt,0.0,,0.8640213999108337,0.8619470712821014,0.8640213999108337,0.9368290908963629,0.8611808849726442,0.8550951366400665,0.9402768798626747,OK
entropy,20,5,2,200,sqrt,0.0,,0.8636647347302719,0.8617761172335401,0.8636647347302719,0.9374734850175284,0.8609763337807268,0.8563657414367283,0.9607419131908064,MILD OVERFITTING
entropy,25,5,2,300,sqrt,0.0,,0.8632189032545697,0.8613795505708427,0.8632189032545697,0.9376588363294617,0.8605683466662284,0.8557415922798348,0.96812091758254,MILD OVERFITTING
entropy,20,10,2,200,sqrt,0.0,,0.8634864021399911,0.8613556504087161,0.8634864021399911,0.9370092316885832,0.8605894703977923,0.8552957334708017,0.9404775174443231,OK
entropy,25,5,2,200,sqrt,0.0,,0.8631297369594293,0.8612337082756598,0.8631297369594293,0.9373811673361985,0.8604253378670623,0.8552065423271786,0.967630470160733,MILD OVERFITTING
entropy,25,10,2,200,sqrt,0.0,,0.8630405706642889,0.8611671253623157,0.8630405706642889,0.9367738832523793,0.8603553480863895,0.855005890829782,0.9444233898834072,MILD OVERFITTING
