n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
500,0.05,6,4,0.85,0.7,1,0.1,5,2,0.8580472581364245,0.8626022949341859,0.8580472581364245,0.9449779857530868,0.8769387781216609,0.8572574633143066,0.8859486813652273,OK
500,0.05,6,4,0.85,0.8,1,0.5,5,2,0.8578689255461436,0.8624621189561003,0.8578689255461436,0.9456033276685836,0.8770174137803914,0.8568562015687916,0.8863722495931515,OK
500,0.05,6,6,0.85,0.7,1,0.5,10,2,0.8576905929558627,0.8623378816026879,0.8576905929558627,0.9447204428894027,0.8772225620024271,0.8549166885442646,0.8820251019907707,OK
500,0.05,6,4,0.85,0.7,1,0.5,5,2,0.8573339277753009,0.8619444104954582,0.8573339277753009,0.9450900715893588,0.8765085658341843,0.8566555505687633,0.8862607842700136,OK
500,0.05,6,4,0.75,0.8,1,0.5,5,2,0.85715559518502,0.8617555679998766,0.85715559518502,0.9451425745360869,0.8762145869588163,0.8574357939163543,0.8895155717056423,OK
500,0.05,6,4,0.85,0.8,1,0.1,5,2,0.8569772625947392,0.8616397819739503,0.8569772625947392,0.9456563874647463,0.8764816125025341,0.857012243081947,0.8886907283144214,OK
500,0.05,6,4,0.85,0.7,1,0.5,10,2,0.8567989300044583,0.8615155164822778,0.8567989300044583,0.9446486093122886,0.8766893264788388,0.8556746577120528,0.8824263771540674,OK
500,0.05,6,4,0.75,0.8,1,0.1,5,2,0.8567097637093178,0.8613281792333629,0.8567097637093178,0.9449649395663241,0.8758215775677484,0.857391188902208,0.8906748110662773,OK
500,0.05,6,4,0.85,0.8,1,0.1,10,2,0.8564422648238965,0.8612343857040855,0.8564422648238965,0.9450307671245322,0.8768576970617109,0.8567224029263514,0.8836747887732127,OK
500,0.05,6,6,0.85,0.8,1,0.1,5,2,0.8564422648238965,0.8612025936112838,0.8564422648238965,0.9454042341080939,0.8766033787592272,0.8562988744555783,0.8855474062019306,OK
500,0.05,6,4,0.85,0.7,1,0.1,10,2,0.8564422648238965,0.8611705987151104,0.8564422648238965,0.9447872648216019,0.8763502732043601,0.8555631839403199,0.8830282898990124,OK
500,0.05,6,4,0.75,0.8,2,0.5,5,2,0.8562639322336157,0.8611250620022399,0.8562639322336157,0.9446538397194814,0.8772005645931468,0.8555185908534453,0.8812894308580601,OK
500,0.05,6,4,0.85,0.8,1,0.5,10,2,0.8563530985287562,0.8611044023106994,0.8563530985287562,0.9452408186864034,0.8764235684645042,0.8554516922776796,0.8835410303854471,OK
500,0.05,6,6,0.75,0.7,1,0.5,10,2,0.8563530985287562,0.8610963986232623,0.8563530985287562,0.943987987007589,0.8763602882061214,0.8556523268777095,0.8832289274806607,OK
500,0.05,6,4,0.75,0.7,1,0.1,5,2,0.8562639322336157,0.8609415891394038,0.8562639322336157,0.9445516379606805,0.8757406737688401,0.8568115950637365,0.8882448670218694,OK
500,0.05,6,6,0.85,0.7,1,0.1,10,2,0.8561747659384753,0.8609239546736946,0.8561747659384753,0.9444488196900052,0.8761907732743639,0.8547829450654558,0.8820473950553983,OK
500,0.05,6,6,0.75,0.8,1,0.5,5,2,0.8561747659384753,0.8608512588386291,0.8561747659384753,0.9442679032860719,0.8756245885729537,0.8566555386414917,0.8884232115388903,OK
500,0.05,6,6,0.85,0.7,1,0.1,5,2,0.8560855996433349,0.860833718631295,0.8560855996433349,0.9451385970401225,0.8760743982591193,0.8556523701140692,0.8857703368482065,OK
500,0.05,6,6,0.85,0.7,1,0.5,5,2,0.8560855996433349,0.8608176305273935,0.8560855996433349,0.944679832655608,0.8759481172928444,0.8557638259948946,0.8843212876474129,OK
500,0.05,6,4,0.75,0.7,1,0.5,5,2,0.8560855996433349,0.8607118124790938,0.8560855996433349,0.9443621301654644,0.8751346709749629,0.8572797374941096,0.8879773502463384,OK
