CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,COMUNIDAD_AUT
CLIX1,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,2892,0,1,0,11
CLIX2,0,0,0,0.0,1,2,3,1,1,1,0,0,4.0,1,1.0,0,2892,17967,1,2,11
CLIX3,0,0,0,0.0,1,0,3,0,1,0,0,0,2.0,0,2.0,0,1376,0,1,0,6
CLIX4,0,0,0,0.0,1,0,0,0,1,0,0,0,4.0,1,0.0,0,2594,6219,1,1,17
CLIX5,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,3.0,1,1376,0,1,0,8
CLIX6,0,0,0,0.0,1,2,0,0,1,1,0,0,4.0,1,3.0,1,2594,2281,1,0,1
CLIX7,0,0,0,0.0,1,0,0,0,1,1,0,0,4.0,1,1.0,0,4720,15105,1,1,13
CLIX8,0,0,0,0.0,1,2,0,0,1,0,0,0,0.0,0,3.0,1,2594,0,1,0,8
CLIX9,0,0,0,0.0,1,1,3,0,1,0,0,1,4.0,0,0.0,0,2169,0,1,0,13
CLIX10,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,1,2594,0,1,0,13
CLIX11,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,1,3.0,1,5677,22231,1,0,6
CLIX12,0,0,0,0.0,1,1,0,0,1,1,0,0,4.0,1,0.0,0,3233,7998,1,0,16
CLIX13,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,0,2.0,0,2594,0,1,0,17
CLIX14,0,0,0,0.0,1,1,3,0,1,1,0,0,3.0,1,2.0,0,5677,4186,1,2,13
CLIX15,0,0,0,0.0,1,0,0,0,2,0,0,0,4.0,1,0.0,0,2594,6207,1,2,7
CLIX16,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,2.0,0,4720,6124,1,1,8
CLIX17,0,0,0,0.0,1,1,0,0,1,1,0,0,2.0,1,0.0,0,3850,6580,1,0,8
CLIX18,0,0,0,0.0,1,2,0,0,1,0,0,0,3.0,1,2.0,1,1376,9646,1,1,0
CLIX19,0,0,0,0.0,1,1,0,0,1,1,0,0,2.0,0,0.0,0,3850,0,1,0,8
CLIX20,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,2.0,0,3213,0,1,0,3
CLIX21,0,0,0,0.0,1,1,0,0,1,1,0,0,4.0,1,1.0,0,2015,10132,1,1,17
CLIX22,0,0,0,0.0,1,0,3,0,1,0,0,0,2.0,0,2.0,0,1376,0,0,0,11
CLIX23,0,0,0,0.0,1,1,0,1,1,0,0,1,4.0,0,0.0,0,2169,0,1,0,13
CLIX24,0,0,0,0.0,1,1,0,1,1,1,0,0,2.0,0,3.0,1,3850,0,1,0,3
CLIX25,0,0,0,0.0,1,1,0,1,1,1,0,0,4.0,0,3.0,1,2228,0,0,0,8
CLIX26,0,0,0,0.0,1,1,3,0,1,1,0,0,2.0,0,3.0,1,2015,0,1,0,3
CLIX27,0,0,0,0.0,1,1,0,0,1,0,0,0,0.0,0,1.0,0,1590,0,1,1,8
CLIX28,0,0,0,0.0,1,1,3,0,1,0,0,1,0.0,0,1.0,0,2169,0,0,0,8
CLIX29,0,0,0,0.0,1,1,0,1,1,1,0,0,4.0,0,0.0,0,1560,0,1,0,8
CLIX30,0,0,0,0.0,1,0,0,1,2,1,0,0,3.0,0,0.0,0,2892,0,1,0,13
CLIX31,0,0,0,0.0,1,2,3,1,1,1,0,0,2.0,0,3.0,1,2208,0,1,1,6
CLIX32,0,0,0,0.0,1,2,0,1,1,0,0,0,3.0,0,0.0,0,1376,0,1,0,13
CLIX33,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,0
CLIX34,0,0,0,0.0,1,1,3,1,1,0,0,1,0.0,0,3.0,1,2169,0,0,0,16
CLIX35,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX36,0,0,0,0.0,1,2,3,0,1,0,0,0,4.0,0,2.0,0,1818,0,1,0,4
CLIX37,0,0,0,0.0,1,1,0,1,1,1,0,1,4.0,1,3.0,1,1376,6048,1,1,2
CLIX38,0,0,0,0.0,1,0,3,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,7
CLIX39,0,0,0,0.0,1,2,0,0,0,0,0,0,4.0,0,1.0,0,1590,0,1,0,11
CLIX40,0,0,0,0.0,1,1,0,1,1,1,0,0,4.0,0,3.0,1,2228,0,0,0,1
CLIX41,0,0,0,0.0,1,1,0,1,1,1,0,0,2.0,0,0.0,0,2228,0,1,1,16
CLIX42,0,0,0,0.0,1,0,3,1,1,0,0,0,3.0,1,3.0,1,1376,22275,1,2,17
CLIX43,0,0,0,0.0,1,2,0,0,1,0,0,0,4.0,1,3.0,1,1376,10867,1,2,8
CLIX44,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,0,3.0,1,2015,0,1,0,6
CLIX45,0,0,0,0.0,1,0,0,1,0,0,0,0,4.0,0,3.0,1,1590,0,1,0,17
CLIX46,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,1,3.0,1,1376,28763,1,2,17
CLIX47,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,3.0,1,1590,0,0,0,13
CLIX48,0,0,0,0.0,1,0,0,0,1,0,0,0,4.0,1,1.0,0,1376,9466,1,1,13
CLIX49,0,0,0,0.0,1,2,0,1,1,1,0,0,4.0,1,2.0,0,1376,21182,1,2,8
CLIX50,0,0,0,0.0,1,2,0,1,1,0,0,0,0.0,1,2.0,0,2064,34332,1,1,16
CLIX51,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,0,0.0,0,1590,0,1,1,8
CLIX52,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,0,0.0,0,4513,0,1,0,4
CLIX53,0,0,0,0.0,1,1,0,0,1,1,0,1,0.0,0,3.0,1,1590,0,1,0,0
CLIX54,0,0,0,0.0,1,1,0,1,1,1,0,0,4.0,0,0.0,0,2015,0,1,0,8
CLIX55,0,0,0,0.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,3097,0,1,0,17
CLIX56,0,0,0,0.0,1,1,3,0,1,1,0,1,0.0,0,0.0,0,1590,0,1,0,8
CLIX57,0,0,0,0.0,1,1,0,1,1,1,0,1,4.0,0,0.0,0,1376,0,1,0,3
CLIX58,0,0,0,0.0,1,1,3,1,1,1,0,0,2.0,0,0.0,0,2228,0,1,0,17
CLIX59,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,13
CLIX60,0,0,0,0.0,1,1,0,0,1,0,0,1,0.0,0,1.0,0,2169,0,1,1,8
CLIX61,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,2594,0,1,0,1
CLIX62,0,0,0,0.0,1,1,0,1,1,0,0,1,2.0,0,0.0,0,2611,0,1,0,4
CLIX63,0,0,0,0.0,1,0,0,1,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,8
CLIX64,0,0,0,0.0,1,1,0,0,1,1,0,0,4.0,0,0.0,0,2015,0,1,0,8
CLIX65,0,0,0,0.0,1,1,0,1,1,0,0,1,0.0,0,0.0,0,2169,0,1,0,11
CLIX66,0,0,0,0.0,1,0,0,1,1,1,0,0,4.0,1,0.0,0,1376,17618,1,1,8
CLIX67,0,0,0,0.0,1,0,0,1,1,1,0,0,4.0,0,3.0,1,3213,0,1,1,8
CLIX68,0,0,0,0.0,1,1,0,1,1,0,0,1,2.0,0,0.0,0,2169,0,1,0,11
CLIX69,0,0,0,0.0,1,0,0,0,1,0,0,0,2.0,0,0.0,0,3213,0,1,1,10
CLIX70,0,0,0,0.0,1,1,3,1,1,0,0,1,0.0,0,0.0,0,2169,0,0,0,11
CLIX71,0,0,0,0.0,1,0,0,0,1,0,0,0,2.0,0,0.0,0,1590,0,1,0,11
CLIX72,0,0,0,0.0,1,1,2,1,2,1,0,0,2.0,1,0.0,0,3850,12563,1,2,0
CLIX73,0,0,0,0.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,2892,14386,1,1,8
CLIX74,0,0,0,0.0,1,1,0,0,1,1,0,0,3.0,0,0.0,0,2670,0,0,0,4
CLIX75,0,0,0,0.0,1,1,0,1,1,1,0,0,3.0,0,0.0,0,4720,0,1,1,13
CLIX76,0,0,0,0.0,1,1,0,1,1,1,0,0,4.0,0,0.0,0,2015,0,1,0,13
CLIX77,0,0,0,0.0,1,0,0,1,1,0,0,0,4.0,0,3.0,1,1376,0,1,0,16
CLIX78,0,0,0,0.0,1,2,2,0,1,0,0,0,3.0,0,0.0,0,2594,0,1,0,17
CLIX79,0,0,0,0.0,1,0,0,1,1,0,0,0,4.0,0,0.0,0,1590,0,1,0,13
CLIX80,0,0,0,0.0,1,0,0,1,1,0,0,0,4.0,0,0.0,0,1376,0,1,0,8
CLIX81,0,0,0,0.0,1,0,0,1,1,0,0,0,4.0,0,0.0,0,2594,0,1,0,5
CLIX82,0,0,0,0.0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,1590,0,1,0,13
CLIX83,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,1590,0,1,0,13
