PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
0,0,0,0.0,1,0,0,1,1,4,1,0,0,2.0,0,3.0,1,2892,0,0,2,18,0
0,0,0,0.0,1,0,0,0,1,47,0,0,0,2.0,1,0.0,0,1376,7187,0,2,53,0
0,0,0,0.0,1,3,0,1,1,30,0,0,0,3.0,0,0.0,0,1376,0,1,4,21,3
0,0,0,0.0,1,2,0,0,1,32,1,0,0,3.0,1,3.0,1,2015,7256,1,4,48,5
0,0,0,0.0,1,2,0,0,2,41,1,0,1,4.0,0,0.0,0,1818,0,1,3,21,3
0,0,0,0.0,1,2,0,0,1,4,1,0,0,3.0,1,1.0,0,2015,11293,0,2,56,0
0,0,0,0.0,1,2,0,1,1,32,1,0,0,3.0,0,0.0,1,2015,0,0,1,24,0
0,0,0,0.0,1,2,0,1,1,39,1,0,0,2.0,1,0.0,0,1560,754,0,2,51,0
0,0,0,0.0,1,0,0,1,1,4,0,0,0,4.0,1,0.0,0,1376,12177,1,1,44,5
0,0,0,0.0,1,3,0,1,1,27,1,0,0,3.0,0,0.0,0,2892,0,1,1,20,4
0,0,0,0.0,1,2,3,1,1,32,1,0,0,4.0,0,1.0,0,2015,0,1,1,32,4
0,0,0,0.0,1,0,0,1,1,32,0,0,0,4.0,0,3.0,1,1376,0,0,1,21,0
0,0,0,0.0,1,3,0,0,2,8,1,0,0,4.0,1,1.0,0,2892,7918,0,1,52,0
0,0,0,0.0,1,3,3,1,1,39,1,0,0,4.0,1,1.0,0,2892,17967,1,1,55,8
0,0,0,0.0,1,0,2,0,1,32,1,0,0,3.0,1,1.0,0,2892,14527,1,2,27,7
0,0,0,0.0,1,0,3,0,1,47,0,0,0,2.0,0,2.0,0,1376,0,0,1,18,0
0,0,0,0.0,1,2,0,1,2,16,1,0,1,0.0,0,1.0,0,4082,0,1,1,26,6
0,0,0,0.0,1,2,0,1,1,22,1,0,0,4.0,1,3.0,1,2015,7123,0,2,51,0
0,0,0,0.0,1,3,0,0,1,8,0,0,0,2.0,1,3.0,1,1376,11544,0,2,54,0
0,0,0,0.0,1,2,0,1,1,49,1,0,0,4.0,1,3.0,1,2015,4535,1,1,38,4
0,0,0,0.0,1,0,0,1,1,13,1,0,0,4.0,1,3.0,1,2892,10806,0,1,46,0
0,0,0,0.0,1,0,0,0,1,48,0,0,0,4.0,1,0.0,0,2594,6219,1,1,37,5
0,0,0,0.0,1,0,3,1,1,28,0,0,0,3.0,0,1.0,0,3036,0,0,1,31,0
0,0,0,0.0,1,2,0,0,1,8,1,0,0,4.0,1,3.0,1,3233,5550,0,1,54,0
0,0,0,0.0,1,3,0,0,1,26,0,0,0,2.0,1,0.0,0,2594,6684,0,2,45,0
0,0,0,0.0,1,3,0,0,1,8,1,0,0,2.0,0,3.0,1,1376,0,0,1,21,0
0,0,0,0.0,1,2,0,1,1,7,1,0,1,0.0,1,0.0,0,3271,14581,1,1,45,8
0,0,0,0.0,1,3,0,0,1,39,1,0,0,4.0,0,0.0,0,2892,0,1,2,26,4
0,0,0,0.0,1,2,3,1,1,8,1,0,0,4.0,0,1.0,0,2015,0,0,1,23,0
0,0,0,0.0,1,3,0,0,1,52,1,0,0,4.0,1,3.0,1,2594,2281,0,2,23,0
0,0,0,0.0,1,3,0,0,1,2,0,0,0,3.0,1,3.0,1,2594,9472,0,1,38,0
0,0,0,0.0,1,2,0,1,1,8,1,0,0,3.0,1,3.0,1,3233,17032,0,2,32,0
0,0,0,0.0,1,2,0,1,1,32,1,0,1,3.0,0,0.0,0,1590,0,1,1,26,3
0,0,0,0.0,1,0,0,0,1,32,1,0,0,4.0,1,1.0,0,4720,15105,1,1,49,9
0,0,0,0.0,1,3,0,0,1,45,0,0,0,0.0,0,3.0,1,2594,0,0,2,26,0
0,0,0,0.0,1,0,0,0,1,7,0,0,0,2.0,1,0.0,0,2594,13303,1,1,57,7
0,0,0,0.0,1,2,3,0,1,8,0,0,1,0.0,0,0.0,0,2169,0,0,0,30,0
0,0,0,0.0,1,0,3,1,2,29,0,0,0,2.0,1,3.0,1,2594,18774,0,2,39,0
0,0,0,0.0,1,2,3,0,1,32,0,0,1,4.0,0,0.0,0,2169,0,1,2,27,4
0,0,0,0.0,1,2,3,0,2,27,1,0,0,2.0,0,0.0,0,3233,0,0,2,19,0
0,0,0,0.0,1,2,0,1,1,16,0,0,1,2.0,0,1.0,0,2169,0,0,1,29,0
0,0,0,0.0,1,0,0,1,1,27,0,0,0,2.0,1,3.0,1,2594,13218,0,1,52,0
0,0,0,0.0,1,2,2,0,1,31,1,0,0,2.0,0,3.0,1,2228,0,0,1,19,0
0,0,0,0.0,1,3,3,1,1,32,1,0,0,4.0,1,2.0,0,4720,11844,1,2,60,9
0,0,0,0.0,1,2,0,0,1,32,1,0,1,4.0,0,0.0,0,2594,0,1,2,23,4
0,0,0,0.0,1,0,0,1,1,32,0,0,0,3.0,0,0.0,1,2594,0,0,1,30,0
0,0,0,0.0,1,2,3,1,1,6,1,0,0,4.0,0,0.0,0,2228,0,1,1,27,4
0,0,0,0.0,1,2,3,1,2,32,1,0,1,4.0,0,0.0,0,2594,0,1,2,28,4
0,0,0,0.0,1,2,0,1,1,39,1,0,1,0.0,0,0.0,0,4720,0,1,1,25,6
0,0,0,0.0,1,3,0,0,1,50,1,0,0,4.0,1,0.0,0,4720,14663,1,2,37,9
0,0,0,0.0,1,1,0,1,1,43,0,0,0,2.0,0,1.0,0,2594,0,0,1,30,0
0,0,0,0.0,1,2,3,0,1,39,1,0,0,3.0,1,3.0,1,5227,5865,1,2,60,8
0,0,0,0.0,1,2,0,0,1,21,1,0,0,3.0,1,3.0,1,5677,22231,1,1,26,7
0,0,0,0.0,1,0,0,1,1,15,0,0,0,4.0,0,3.0,1,2594,0,0,1,28,0
0,0,0,0.0,1,2,0,0,1,32,0,0,1,0.0,0,1.0,0,2169,0,0,1,21,0
0,0,0,0.0,1,2,1,0,1,32,1,0,0,4.0,0,3.0,1,3233,0,0,2,30,0
0,0,0,0.0,1,2,0,0,1,50,1,0,0,4.0,1,0.0,0,3233,7998,1,2,29,6
0,0,0,0.0,1,3,2,0,1,48,0,0,0,2.0,1,0.0,0,2594,24347,0,1,53,0
0,0,0,0.0,1,2,3,1,1,48,1,0,0,3.0,0,1.0,0,3233,0,0,1,30,0
0,0,0,0.0,1,0,0,0,1,2,1,0,0,3.0,0,2.0,0,2594,0,0,1,23,0
0,0,0,0.0,1,0,0,1,1,12,0,0,0,3.0,0,0.0,0,1590,0,0,0,29,0
0,0,0,0.0,1,0,0,0,1,32,0,0,0,4.0,0,0.0,0,2594,0,1,1,31,4
0,0,0,0.0,1,0,0,0,1,7,0,0,0,3.0,0,0.0,0,2594,0,0,2,26,0
0,0,0,0.0,1,0,3,1,1,8,0,0,0,4.0,0,0.0,0,2594,0,1,2,30,4
0,0,0,0.0,1,0,3,1,1,32,1,0,0,4.0,0,0.0,0,4720,0,1,2,29,6
0,0,0,0.0,1,2,0,1,1,2,1,0,0,3.0,0,0.0,0,3233,0,0,2,32,0
0,0,0,0.0,1,0,3,0,1,28,0,0,0,0.0,0,0.0,0,3036,0,0,2,31,0
0,0,0,0.0,1,2,3,0,1,32,1,0,0,3.0,1,2.0,0,5677,4186,1,2,58,8
0,0,0,0.0,1,0,0,0,2,29,0,0,0,4.0,1,0.0,0,2594,6207,0,2,60,0
0,0,0,0.0,1,2,0,0,1,37,1,0,0,4.0,0,3.0,1,3233,0,1,1,26,5
0,0,0,0.0,1,3,0,0,1,36,1,0,0,3.0,0,3.0,1,4720,0,1,1,22,6
0,0,0,0.0,1,3,0,0,1,19,1,0,0,2.0,1,2.0,0,4720,6124,1,2,37,8
0,0,0,0.0,1,2,0,1,1,32,1,0,0,4.0,0,1.0,0,2777,0,1,0,22,4
0,0,0,0.0,1,2,0,0,1,19,1,0,0,2.0,1,0.0,0,3850,6580,1,1,18,7
0,0,0,0.0,1,3,0,0,1,33,0,0,0,3.0,1,2.0,1,1376,9646,0,1,50,0
0,0,0,0.0,1,3,0,0,2,25,1,0,0,3.0,1,3.0,1,1376,4923,0,1,29,0
0,0,0,0.0,1,3,2,0,1,22,0,0,0,2.0,1,3.0,1,2594,9150,0,2,46,0
0,0,0,0.0,1,0,0,1,1,8,0,0,0,4.0,1,0.0,0,1376,9780,1,2,50,5
0,0,0,0.0,1,2,0,0,1,19,1,0,0,2.0,0,0.0,0,3850,0,1,2,18,5
0,0,0,0.0,1,3,0,1,1,7,1,0,0,3.0,0,2.0,0,3213,0,1,1,20,5
0,0,0,0.0,1,1,1,1,1,8,1,0,0,2.0,1,1.0,0,2594,10219,0,2,45,0
0,0,0,0.0,1,2,0,0,1,2,1,0,0,2.0,1,3.0,1,2015,5569,0,2,49,0
0,0,0,0.0,1,3,0,0,1,52,0,0,0,3.0,1,3.0,1,1376,20876,0,1,19,0
0,0,0,0.0,1,2,0,0,1,32,1,0,0,3.0,1,3.0,1,2015,25550,0,2,45,0
0,0,0,0.0,1,0,0,0,1,35,0,0,0,2.0,1,0.0,0,1376,18674,0,2,58,0
0,0,0,0.0,1,0,0,0,1,4,0,0,0,2.0,0,3.0,1,1376,0,0,2,25,0
0,0,0,0.0,1,2,0,0,1,48,1,0,0,4.0,1,1.0,0,2015,10132,0,2,42,0
0,0,0,0.0,1,0,3,0,1,26,1,0,0,3.0,1,0.0,0,2892,14797,1,2,54,7
0,0,0,0.0,1,0,3,0,1,27,0,0,0,2.0,0,2.0,0,1376,0,1,0,26,3
0,0,0,0.0,1,2,0,1,1,41,0,0,1,0.0,0,0.0,0,2611,0,0,1,26,0
0,0,0,0.0,1,0,0,1,1,32,1,0,0,4.0,1,3.0,1,2208,6428,1,2,46,5
0,0,0,0.0,1,3,0,1,1,39,1,0,0,3.0,1,0.0,0,2892,30078,1,2,60,5
0,0,0,0.0,1,0,3,1,1,32,0,0,0,0.0,1,2.0,0,1376,17082,0,2,47,0
0,0,0,0.0,1,2,0,1,1,32,0,0,1,4.0,0,0.0,0,2169,0,1,1,25,4
0,0,0,0.0,1,2,3,1,1,32,1,0,1,3.0,1,1.0,0,1376,17003,0,1,46,0
0,0,0,0.0,1,2,3,1,1,32,0,0,1,0.0,0,2.0,0,4193,0,0,0,19,0
